Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
MCX,mcx_fo,CRUDEOIL,246319,OPTFUT,PE,9450,CRUDEOIL22NOV9450PE,CRUDEOIL22NOV9450PE,CRUDEOIL 16NOV22 9450 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246332,OPTFUT,CE,9500,CRUDEOIL22NOV9500CE,CRUDEOIL22NOV9500CE,CRUDEOIL 16NOV22 9500 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246333,OPTFUT,PE,9500,CRUDEOIL22NOV9500PE,CRUDEOIL22NOV9500PE,CRUDEOIL 16NOV22 9500 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246493,OPTFUT,CE,9550,CRUDEOIL22NOV9550CE,CRUDEOIL22NOV9550CE,CRUDEOIL 16NOV22 9550 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246494,OPTFUT,PE,9550,CRUDEOIL22NOV9550PE,CRUDEOIL22NOV9550PE,CRUDEOIL 16NOV22 9550 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246495,OPTFUT,CE,9600,CRUDEOIL22NOV9600CE,CRUDEOIL22NOV9600CE,CRUDEOIL 16NOV22 9600 CE,2022-11-16,100,0.1
MCX,mcx_fo,CRUDEOIL,246496,OPTFUT,PE,9600,CRUDEOIL22NOV9600PE,CRUDEOIL22NOV9600PE,CRUDEOIL 16NOV22 9600 PE,2022-11-16,100,0.1
MCX,mcx_fo,CRDOCTNO22,246085,FUTCOM,,0,CRDOCTNO2222OCTFUT,CRDOCTNO2222OCTFUT,CRDOCTNO22 19OCT22 FUT,2022-10-19,100,1.0
MCX,mcx_fo,NATURALGAS,246334,FUTCOM,,0,NATURALGAS22NOVFUT,NATURALGAS22NOVFUT,NATURALGAS 25NOV22 FUT,2022-11-25,1250,0.1
MCX,mcx_fo,NATURALGAS,248092,OPTFUT,CE,405,NATURALGAS22NOV405CE,NATURALGAS22NOV405CE,NATURALGAS 23NOV22 405 CE,2022-11-23,1250,0.05
MCX,mcx_fo,NATURALGAS,248093,OPTFUT,PE,405,NATURALGAS22NOV405PE,NATURALGAS22NOV405PE,NATURALGAS 23NOV22 405 PE,2022-11-23,1250,0.05
